Updated Matlist.txt 5/22/2011
http://www.VarmintAl.com/aengr.htm
English Units (lbf-s2/in, in, s, lbf, psi, lbf-in)
 
I.D. Material Name and Condition.                                  Density Yng's Poiss  Yld   Ult  Elong Redu  CTE  Yld
                                                                   lb/in^3 Modul Ratio  Strs  Strs   %   Area 10^-6 off-
                                                                            msi         ksi   ksi         %   /degF set
  94 ALUMINUM 7039-T61 PLATE                                        0.1010 10.10 0.330  48.0  58.0  14.0  --- 13.00 0.20
  95 ALUMINUM 7049-T73 DIE FORGINGS                                 0.1020 10.20 0.330  61.0  71.0   7.0  --- 13.00 0.20
  96 ALUMINUM 7049-T73511 EXTRUSIONS                                0.1020 10.20 0.330  62.0  72.0   7.0  --- 13.00 0.20
  97 ALUMINUM 7049-T75511 EXTRUSIONS                                0.1020 10.20 0.330  69.0  77.0   7.0  --- 13.00 0.20
  98 ALUMINUM 7050-T73652 HAND FORGING                              0.1010 10.30 0.330  60.0  70.0   9.0  --- 13.00 0.20
  99 ALUMINUM 7050-T736 DIE FORGINGS                                0.1010 10.30 0.330  60.0  70.0   7.0  --- 13.00 0.20
 100 ALUMINUM 7075-O SHEET                                          0.1010 10.30 0.330  15.0  33.0  17.0  --- 13.10 0.20
 101 ALUMINUM 7075-T6 SHEET                                         0.1010 10.30 0.330  76.0  83.0  11.0  --- 13.10 0.20
 102 ALUMINUM 7075-T651 PLATE                                       0.1010 10.40 0.330  76.0  85.0  10.0  --- 13.10 0.20
 103 ALUMINUM 7075-T73 SHEET                                        0.1010 10.30 0.330  63.0  72.0  11.0  --- 13.10 0.20
 104 ALUMINUM 7076-T61                                              0.1020  9.70 0.330  60.0  70.0  14.0  --- 12.00 0.20
 105 ALUMINUM 7079-O SHEET                                          0.0990 10.40 0.330  15.0  33.0  17.0  --- 13.10 0.20
 106 ALUMINUM 7079-T6 SHEET                                         0.0990 10.40 0.330  70.0  77.0  11.0  --- 13.10 0.20
 107 ALUMINUM 7079-T651 PLATE                                       0.0990 10.40 0.330  77.0  84.0  10.0  --- 13.10 0.20
 108 ALUMINUM 7178-O SHEET                                          0.1020 10.40 0.330  15.0  33.0  15.0  --- 13.00 0.20
 109 ALUMINUM 7178-T6 SHEET                                         0.1020 10.40 0.330  75.0  84.0  11.0  --- 13.00 0.20
 110 ALUMINUM 7178-T76 PLATE                                        0.1020 10.20 0.330  72.0  81.0  11.0  --- 13.00 0.20
 111 ALUMINUM 7178-T651 PLATE                                       0.1020 10.40 0.330  84.0  94.0   9.0  --- 13.00 0.20
 112 ALUMINUM WROUGHT 1060 O                                        0.0980 10.00 0.330   4.0  10.0  43.0  --- 13.10 0.20
 113 ALUMINUM WROUGHT 1060 H14                                      0.0980 10.00 0.330  13.0  14.0  12.0  --- 13.10 0.20
 114 ALUMINUM WROUGHT 1060 H18                                      0.0980 10.00 0.330  18.0  19.0   6.0  --- 13.10 0.20
 115 ALUMINUM WROUGHT 1100 O                                        0.0980 10.00 0.330   5.0  13.0  35.0  --- 13.10 0.20
 116 ALUMINUM WROUGHT 1100 H14                                      0.0980 10.00 0.330  17.0  18.0   9.0  --- 13.10 0.20
 117 ALUMINUM WROUGHT 1100 H18                                      0.0980 10.00 0.330  22.0  24.0   5.0  --- 13.10 0.20
 118 ALUMINUM WROUGHT 1350 O                                        0.0980 10.00 0.330   4.0  12.0  23.0  --- 13.20 0.20
 119 ALUMINUM WROUGHT 1350 H19                                      0.0980 10.00 0.330  24.0  27.0   1.5  --- 13.20 0.20
 120 ALUMINUM WROUGHT 2011 T3                                       0.1090 10.20 0.330  43.0  55.0  15.0  --- 12.70 0.20
 121 ALUMINUM WROUGHT 2011 T8                                       0.1090 10.20 0.330  45.0  59.0  12.0  --- 12.70 0.20
 122 ALUMINUM WROUGHT 2014 O                                        0.1010 10.60 0.330  14.0  24.0  18.0  --- 12.80 0.20
 123 ALUMINUM WROUGHT 2014 T6                                       0.1010 10.60 0.330  68.0  74.0  10.0  --- 12.80 0.20
 124 ALUMINUM WROUGHT 2017 O                                        0.1010 10.50 0.330  10.0  26.0  22.0  --- 13.10 0.20
 125 ALUMINUM WROUGHT 2017 T4                                       0.1010 10.50 0.330  40.0  62.0  22.0  --- 13.10 0.20
 126 ALUMINUM WROUGHT 2024 O                                        0.1010 10.60 0.330  11.0  27.0  22.0  --- 12.90 0.20
 127 ALUMINUM WROUGHT 2024 T3                                       0.1010 10.60 0.330  50.0  70.0  18.0  --- 12.90 0.20
 128 ALUMINUM WROUGHT 2024 T4 OR T351                               0.1010 10.60 0.330  47.0  65.0  20.0  --- 12.90 0.20
 129 ALUMINUM WROUGHT 2024 T361                                     0.1010 10.60 0.330  57.0  72.0  13.0  --- 12.90 0.20
 130 ALUMINUM WROUGHT 2036 T4                                       0.1000 10.30 0.330  28.0  49.0  24.0  --- 13.00 0.20
 131 ALUMINUM WROUGHT 2219 O                                        0.1030 10.60 0.330  11.0  25.0  18.0  --- 12.40 0.20
 132 ALUMINUM WROUGHT 2219 T31 OR T351                              0.1030 10.60 0.330  36.0  52.0  17.0  --- 12.40 0.20
 133 ALUMINUM WROUGHT 2219 T81 OR T851                              0.1030 10.60 0.330  51.0  66.0  10.0  --- 12.40 0.20
 134 ALUMINUM WROUGHT 3003 O                                        0.0990 10.00 0.330   6.0  16.0  30.0  --- 12.90 0.20
 135 ALUMINUM WROUGHT 3003 H12                                      0.0990 10.00 0.330  18.0  19.0  10.0  --- 12.90 0.20
 136 ALUMINUM WROUGHT 3003 H14                                      0.0990 10.00 0.330  21.0  22.0   8.0  --- 12.90 0.20
 137 ALUMINUM WROUGHT 3003 H18                                      0.0990 10.00 0.330  27.0  29.0   4.0  --- 12.90 0.20
 138 ALUMINUM WROUGHT 3004 O                                        0.0980 10.00 0.330  10.0  26.0  20.0  --- 13.30 0.20
 139 ALUMINUM WROUGHT 3004 H32                                      0.0980 10.00 0.330  25.0  31.0  10.0  --- 13.30 0.20
 140 ALUMINUM WROUGHT 3004 H34                                      0.0980 10.00 0.330  29.0  35.0   9.0  --- 13.30 0.20
 141 ALUMINUM WROUGHT 3004 H38                                      0.0980 10.00 0.330  36.0  41.0   5.0  --- 13.30 0.20
 142 ALUMINUM WROUGHT 3105 O                                        0.0980 10.00 0.330   8.0  17.0  24.0  --- 13.10 0.20
 143 ALUMINUM WROUGHT 3105 H14                                      0.0980 10.00 0.330  22.0  25.0   5.0  --- 13.10 0.20
 144 ALUMINUM WROUGHT 3105 H18                                      0.0980 10.00 0.330  28.0  31.0   3.0  --- 13.10 0.20
 145 ALUMINUM WROUGHT 3105 H25                                      0.0980 10.00 0.330  23.0  26.0   8.0  --- 13.10 0.20
 146 ALUMINUM WROUGHT 4032 T6                                       0.0970 11.40 0.330  46.0  55.0   9.0  --- 10.80 0.20
 147 ALUMINUM WROUGHT 5005 O                                        0.0980 10.00 0.330   6.0  18.0  25.0  --- 13.20 0.20
 148 ALUMINUM WROUGHT 5005 H14                                      0.0980 10.00 0.330  22.0  23.0   6.0  --- 13.20 0.20
 149 ALUMINUM WROUGHT 5005 H18                                      0.0980 10.00 0.330  28.0  29.0   4.0  --- 13.20 0.20
 150 ALUMINUM WROUGHT 5005 H38                                      0.0980 10.00 0.330  27.0  29.0   5.0  --- 13.20 0.20
 151 ALUMINUM WROUGHT 5050 O                                        0.0970 10.00 0.330   8.0  21.0  24.0  --- 13.20 0.20
 152 ALUMINUM WROUGHT 5050 H34                                      0.0970 10.00 0.330  24.0  28.0   8.0  --- 13.20 0.20
 153 ALUMINUM WROUGHT 5050 H38                                      0.0970 10.00 0.330  29.0  32.0   6.0  --- 13.20 0.20
 154 ALUMINUM WROUGHT 5052 O                                        0.0970 10.20 0.330  13.0  28.0  25.0  --- 13.20 0.20
 155 ALUMINUM WROUGHT 5052 H34                                      0.0970 10.20 0.330  31.0  38.0  10.0  --- 13.20 0.20
 156 ALUMINUM WROUGHT 5052 H38                                      0.0970 10.20 0.330  37.0  42.0   7.0  --- 13.20 0.20
 157 ALUMINUM WROUGHT 5083 O                                        0.0960 10.30 0.330  21.0  42.0  22.0  --- 13.20 0.20
 158 ALUMINUM WROUGHT 5083 H321 OR H116                             0.0960 10.30 0.330  33.0  46.0  16.0  --- 13.20 0.20
 159 ALUMINUM WROUGHT 5086 0                                        0.0960 10.30 0.330  17.0  38.0  22.0  --- 13.20 0.20
 160 ALUMINUM WROUGHT 5086 H32 OR H116                              0.0960 10.30 0.330  30.0  42.0  12.0  --- 13.20 0.20
 161 ALUMINUM WROUGHT 5154 O                                        0.0960 10.20 0.330  17.0  35.0  27.0  --- 13.30 0.20
 162 ALUMINUM WROUGHT 5154 H34                                      0.0960 10.20 0.330  33.0  42.0  13.0  --- 13.30 0.20
 163 ALUMINUM WROUGHT 5154 H38                                      0.0960 10.20 0.330  39.0  48.0  10.0  --- 13.30 0.20
 164 ALUMINUM WROUGHT 5252 H25                                      0.0960 10.00 0.330  25.0  34.0  11.0  --- 13.20 0.20
 165 ALUMINUM WROUGHT 5454 O                                        0.0970 10.20 0.330  17.0  36.0  22.0  --- 13.10 0.20
 166 ALUMINUM WROUGHT 5454 H32                                      0.0970 10.20 0.330  30.0  40.0  10.0  --- 13.10 0.20
 167 ALUMINUM WROUGHT 5454 H34                                      0.0970 10.20 0.330  35.0  44.0  10.0  --- 13.10 0.20
 168 ALUMINUM WROUGHT 5456 O                                        0.0960 10.30 0.330  23.0  45.0  24.0  --- 13.30 0.20
 169 ALUMINUM WROUGHT 5456 H24                                      0.0960 10.30 0.330  41.0  54.0  13.0  --- 13.30 0.20
 170 ALUMINUM WROUGHT 5456 H34                                      0.0960 10.30 0.330  37.0  51.0  16.0  --- 13.30 0.20
 171 ALUMINUM WROUGHT 5657 H25                                      0.0970 10.00 0.330  20.0  23.0  12.0  --- 13.20 0.20
 172 ALUMINUM WROUGHT 5657 H38 OR H28                               0.0970 10.00 0.330  24.0  28.0   7.0  --- 13.20 0.20
 173 ALUMINUM WROUGHT 6061 O                                        0.0980 10.00 0.330   8.0  18.0  30.0  --- 13.10 0.20
 174 ALUMINUM WROUGHT 6061 T451                                     0.0980 10.00 0.330  21.0  35.0  25.0  --- 13.10 0.20
 175 ALUMINUM WROUGHT 6061 T651                                     0.0980 10.00 0.330  40.0  45.0  17.0  --- 13.10 0.20
 176 ALUMINUM WROUGHT 6063 O                                        0.0970 10.00 0.330   7.0  13.0  25.0  --- 13.00 0.20
 177 ALUMINUM WROUGHT 6063 T4                                       0.0970 10.00 0.330  13.0  25.0  22.0  --- 13.00 0.20
 178 ALUMINUM WROUGHT 6063 T6                                       0.0970 10.00 0.330  31.0  35.0  12.0  --- 13.00 0.20
 179 ALUMINUM WROUGHT 6066 O                                        0.0980 10.00 0.330  12.0  22.0  18.0  --- 12.90 0.20
